yrsold,mosold,30 year FRM,15 year FRM,1 year ARM
2006,1,6.28,5.86,5.38
2006,2,6.4,6.02,5.47
2006,3,6.47,6.12,5.65
2006,4,6.63,6.28,5.82
2006,5,6.75,6.37,5.92
2006,6,6.83,6.38,6.03
2006,7,6.88,6.53,6.16
2006,8,6.63,6.32,6.04
2006,9,6.49,6.16,5.98
2006,10,6.47,6.13,5.94
2006,11,6.34,6.04,5.92
2006,12,6.23,5.94,5.84
2007,1,6.33,6,5.91
2007,2,6.37,6.11,5.94
2007,3,6.27,5.99,5.89
2007,4,6.35,6.05,5.91
2007,5,6.39,6.08,5.91
2007,6,6.73,6.41,6.04
2007,7,6.85,6.5,6.12
2007,8,6.96,6.59,6.22
2007,9,6.83,6.49,6.29
2007,10,6.72,6.38,6.21
2007,11,6.56,6.22,6.02
2007,12,6.61,6.16,6
2008,1,5.77,6.25,5.69
2008,2,6.42,5.87,5.42
2008,3,6.62,6.02,5.8
2008,4,6.54,6.03,6.12
2008,5,6.56,6.02,6.11
2008,6,6.88,6.38,6.1
2008,7,6.94,6.43,6.19
2008,8,7,6.52,6.05
2008,9,6.65,6.27,6.01
2008,10,6.85,6.53,6.12
2008,11,6.69,6.35,5.92
2008,12,6.01,5.75,5.73
2009,1,5.8,5.46,5.53
2009,2,5.83,5.43,5.44
2009,3,5.66,5.27,5.33
2009,4,5.48,5.12,5.15
2009,5,5.49,5.11,5.04
2009,6,5.92,5.41,5.03
2009,7,5.72,5.17,4.85
2009,8,5.68,5.11,4.76
2009,9,5.52,4.96,4.69
2009,10,5.41,4.83,4.7
2009,11,5.33,4.77,4.6
2009,12,5.35,4.78,4.57
2010,1,5.49,4.9,4.6
2010,2,5.4,4.8,4.54
2010,3,5.33,4.72,4.5
2010,4,5.4,4.8,4.43
2010,5,5.25,4.66,4.24
2010,6,5.14,4.59,4.05
2010,7,4.96,4.44,3.97
2010,8,4.81,4.28,3.85
2010,9,4.76,4.24,3.85
2010,10,4.64,4.09,3.76
2010,11,4.69,4.11,3.73
2010,12,5.07,4.44,3.79